player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Gianluigi Donnarumma,Manchester City,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0
Gideon Mensah,Auxerre,Ligue 1,2025-2026,37,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,8,0
Gift Orban,Hellas Verona,Serie A,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,1
Gio Reyna,Gladbach,Bundesliga,2025-2026,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Giorgi Abuashvili,Metz,Ligue 1,2025-2026,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Giorgi Gocholeishvili,Hamburger SV,Bundesliga,2025-2026,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,1
Giorgi Kvilitaia,Metz,Ligue 1,2025-2026,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Giorgi Mamardashvili,Liverpool,Premier League,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Giorgio Scalvini,Atalanta,Serie A,2025-2026,22,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,0
Giovane,Hellas Verona,Serie A,2025-2026,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,0
Giovane,Napoli,Serie A,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Giovani Lo Celso,Real Betis,La Liga,2025-2026,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0
Giovanni Bonfanti,Pisa,Serie A,2025-2026,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Giovanni Di Lorenzo,Napoli,Serie A,2025-2026,26,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,0
Giovanni Fabbian,Bologna,Serie A,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0
Giovanni Fabbian,Fiorentina,Serie A,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0
Giovanni Simeone,Torino,Serie A,2025-2026,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,0
Giuliano Simeone,Atlético Madrid,La Liga,2025-2026,25,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,0
Giuseppe Ambrosino,Napoli,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Giuseppe Pezzella,Cremonese,Serie A,2025-2026,31,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,8,1
Gleison Bremer,Juventus,Serie A,2025-2026,14,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,0
Glen Kamara,Rennes,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Godson Kyeremeh,Le Havre,Ligue 1,2025-2026,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Goduine Koyalipou,Angers,Ligue 1,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Goduine Koyalipou,Levante,La Liga,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Gonzalo García,Real Madrid,La Liga,2025-2026,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Gonzalo Villar,Elche,La Liga,2025-2026,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,0
Gonçalo Guedes,Real Sociedad,La Liga,2025-2026,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,0
Gonçalo Ramos,Paris Saint-Germain,Ligue 1,2025-2026,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1
Gorka Carrera,Real Sociedad,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Gorka Guruzeta,Athletic Club,La Liga,2025-2026,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,6,1
Grady Diangana,Elche,La Liga,2025-2026,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,0
Granit Xhaka,Sunderland,Premier League,2025-2026,33,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,7,0
Grant Ranos,Gladbach,Bundesliga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Gregor Kobel,Dortmund,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0
Grigoris Kastanos,Hellas Verona,Serie A,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Grischa Prömel,Hoffenheim,Bundesliga,2025-2026,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,0
Grégoire Coudert,Brest,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
Guela Doué,Strasbourg,Ligue 1,2025-2026,38,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,3,0
Guglielmo Vicario,Tottenham Hotspur,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Guido Rodríguez,Valencia,La Liga,2025-2026,25,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,0
Guido Rodríguez,West Ham United,Premier League,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Guilherme Ramos,Hamburger SV,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Guillaume Restes,Toulouse,Ligue 1,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0
Guillermo Maripán,Torino,Serie A,2025-2026,28,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,4,0
Gustav Isaksen,Lazio,Serie A,2025-2026,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0
Gvidas Gineitis,Torino,Serie A,2025-2026,26,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,5,0
Habib Diallo,Metz,Ligue 1,2025-2026,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0
Habib Diarra,Sunderland,Premier League,2025-2026,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,0
Haissem Hassan,Oviedo,La Liga,2025-2026,25,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0
Hakan Çalhanoğlu,Inter,Serie A,2025-2026,17,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,7,0
Hamari Traoré,Paris FC,Ligue 1,2025-2026,22,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,0
Hamed Junior Traorè,Bournemouth,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Hamed Junior Traorè,Marseille,Ligue 1,2025-2026,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Hamidou Makalou,Brest,Ligue 1,2025-2026,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Hamza Igamane,Lille,Ligue 1,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0
Hamza Koutoune,Nice,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Han-Noah Massengo,Augsburg,Bundesliga,2025-2026,18,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,0
Hannes Behrens,Heidenheim,Bundesliga,2025-2026,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Hannibal Mejbri,Burnley,Premier League,2025-2026,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,8,0
Hans Hateboer,Lyon,Ligue 1,2025-2026,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,1
Hans Hateboer,Rennes,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Hans Nicolussi Caviglia,Fiorentina,Serie A,2025-2026,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4,0
Hans Nicolussi Caviglia,Parma,Serie A,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Haris Belkebla,Angers,Ligue 1,2025-2026,44,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7,0
Haris Tabakovic,Gladbach,Bundesliga,2025-2026,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,5,0
Harouna Djibrin,Angers,Ligue 1,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Harrison Armstrong,Everton,Premier League,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Harrison Reed,Fulham,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Harry Howell,Brighton,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Harry Kane,Bayern Munich,Bundesliga,2025-2026,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,0
Harry Maguire,Manchester Utd,Premier League,2025-2026,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,1
Harry Wilson,Fulham,Premier League,2025-2026,18,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,7,0
Harvey Barnes,Newcastle United,Premier League,2025-2026,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,0
Harvey Elliott,Aston Villa,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Harvey Elliott,Liverpool,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Hassane Kamara,Udinese,Serie A,2025-2026,20,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,0
Hauke Wahl,St Pauli,Bundesliga,2025-2026,32,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Henrick Do Marcolino,Rennes,Ligue 1,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Henrik Meister,Pisa,Serie A,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,0
Henrikh Mkhitaryan,Inter,Serie A,2025-2026,27,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,0
Heorhii Tsitaishvili,Metz,Ligue 1,2025-2026,12,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,0
Hernani,Parma,Serie A,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Hervé Koffi,Angers,Ligue 1,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Hicham Boudaoui,Nice,Ligue 1,2025-2026,16,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5,0
Hilan Hamzaoui,Marseille,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Himad Abdelli,Angers,Ligue 1,2025-2026,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Himad Abdelli,Marseille,Ligue 1,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Hiroki Ito,Bayern Munich,Bundesliga,2025-2026,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0
Hjalmar Ekdal,Burnley,Premier League,2025-2026,17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Honest Ahanor,Atalanta,Serie A,2025-2026,20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1
Hong Hyunseok,Nantes,Ligue 1,2025-2026,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Horaţiu Moldovan,Oviedo,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Hugo Bolin,Gladbach,Bundesliga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Hugo Bueno,Wolves,Premier League,2025-2026,35,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,0
Hugo Duro,Valencia,La Liga,2025-2026,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,0
Hugo Ekitike,Liverpool,Premier League,2025-2026,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,0
Hugo García,Celta Vigo,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Hugo González,Celta Vigo,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Hugo Larsson,Eintracht Frankfurt,Bundesliga,2025-2026,9,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Hugo López,Villarreal,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Hugo Magnetti,Brest,Ligue 1,2025-2026,45,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4,1
Hugo Rincón,Girona,La Liga,2025-2026,31,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,4,0
Hugo Solozabal,Getafe,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Hugo Sotelo,Celta Vigo,La Liga,2025-2026,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,0
Hugo Álvarez,Celta Vigo,La Liga,2025-2026,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,0
Hwang Hee-chan,Wolves,Premier League,2025-2026,4,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,4,0
Hákon Haraldsson,Lille,Ligue 1,2025-2026,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,0
Hákon Valdimarsson,Brentford,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Héctor Bellerín,Real Betis,La Liga,2025-2026,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Héctor Fort,Elche,La Liga,2025-2026,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Iago Aspas,Celta Vigo,La Liga,2025-2026,11,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0
Ian Maatsen,Aston Villa,Premier League,2025-2026,29,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,0
Ibai Aguirre,Real Sociedad,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Ibou Sané,Metz,Ligue 1,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Ibrahim Diabaté,Alavés,La Liga,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Ibrahim Kanté,Brest,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ibrahim Maza,Leverkusen,Bundesliga,2025-2026,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,2025-2026,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0
Ibrahim Osman,Auxerre,Ligue 1,2025-2026,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Ibrahim Salah,Rennes,Ligue 1,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ibrahim Sangaré,Nottingham Forest,Premier League,2025-2026,31,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,5,0
Ibrahim Sulemana,Bologna,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Ibrahim Sulemana,Cagliari,Serie A,2025-2026,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Ibrahima Konaté,Liverpool,Premier League,2025-2026,30,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,6,0
Ibrahima Sissoko,Nantes,Ligue 1,2025-2026,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,0
Idrissa Gana Gueye,Everton,Premier League,2025-2026,21,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1
Idrissa Guèye,Metz,Ligue 1,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Idrissa Guèye,Udinese,Serie A,2025-2026,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Idrissa Sabaly,Strasbourg,Ligue 1,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Idrissa Touré,Pisa,Serie A,2025-2026,28,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,1
Ifechukwu Ogbus,Freiburg,Bundesliga,2025-2026,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Iglesias,Getafe,La Liga,2025-2026,72,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,4,0
Ignace Van Der Brempt,Como,Serie A,2025-2026,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Ignatius Ganago,Nantes,Ligue 1,2025-2026,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Igor,West Ham United,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Igor Carioca,Lorient,Ligue 1,2025-2026,19,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Igor Jesus,Nottingham Forest,Premier League,2025-2026,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,2,0
Igor Matanovic,Freiburg,Bundesliga,2025-2026,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0,0
Igor Paixão,Marseille,Ligue 1,2025-2026,12,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,0
Igor Thiago,Brentford,Premier League,2025-2026,20,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,7,0
Igor Zubeldia,Real Sociedad,La Liga,2025-2026,20,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,9,0
Ihlas Bebou,Hoffenheim,Bundesliga,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Iker Benito,Osasuna,La Liga,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Iker Bravo,Udinese,Serie A,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Iker Losada,Levante,La Liga,2025-2026,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Iker Luque,Atlético Madrid,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Iker Muñoz,Osasuna,La Liga,2025-2026,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,0
Ilaix Moriba,Celta Vigo,La Liga,2025-2026,42,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,7,0
Ilan Kebbal,Paris FC,Ligue 1,2025-2026,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7,0
Ilane Touré,Monaco,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Ilia Gruev,Leeds United,Premier League,2025-2026,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Ilias Akhomach,Rayo Vallecano,La Liga,2025-2026,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Ilias Akhomach,Villarreal,La Liga,2025-2026,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Iliman Ndiaye,Everton,Premier League,2025-2026,38,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,0
Illia Zabarnyi,Paris Saint-Germain,Ligue 1,2025-2026,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,0
Ilyas Ansah,Union Berlin,Bundesliga,2025-2026,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0
Ilyas Azizi,Toulouse,Ligue 1,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ilyas Chaira,Oviedo,La Liga,2025-2026,34,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,2,1
Immanuel Pherai,Hamburger SV,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1
Ioan Vermeșan,Hellas Verona,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ionuț Radu,Celta Vigo,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
Isaac,Hellas Verona,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Isaac Palazón Camacho,Rayo Vallecano,La Liga,2025-2026,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,10,1
Isaac Romero,Sevilla,La Liga,2025-2026,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,1
Isaac Schmidt,Werder Bremen,Bundesliga,2025-2026,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Isak Hansen-Aarøen,Werder Bremen,Bundesliga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Isak Hien,Atalanta,Serie A,2025-2026,34,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,5,0
Isak Jansson,Nice,Ligue 1,2025-2026,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
Isco,Real Betis,La Liga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Ismael Bekhoucha,Getafe,La Liga,2025-2026,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0
Ismaila Sarr,Crystal Palace,Premier League,2025-2026,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0
Ismaël Doukouré,Strasbourg,Ligue 1,2025-2026,11,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,2
Ismaël Gharbi,Augsburg,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Ismaël Guerti,Metz,Ligue 1,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ismaël Koné,Sassuolo,Serie A,2025-2026,17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1
Ismaëlo Ganiou,Lens,Ligue 1,2025-2026,27,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,1
Issa Diop,Fulham,Premier League,2025-2026,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Issa Soumaré,Le Havre,Ligue 1,2025-2026,20,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,3,0
Ivan Ilić,Torino,Serie A,2025-2026,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Ivan Provedel,Lazio,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Ivan Smolčić,Como,Serie A,2025-2026,24,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,8,0
Iván Balliu,Rayo Vallecano,La Liga,2025-2026,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Iván Corralejo,Real Betis,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Iván Martín,Girona,La Liga,2025-2026,37,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,5,1
Iván Romero,Levante,La Liga,2025-2026,22,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,5,0
Iñaki Peña,Elche,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Iñaki Williams,Athletic Club,La Liga,2025-2026,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,0
Iñigo Arguibide,Osasuna,La Liga,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1
Iñigo Lekue,Athletic Club,La Liga,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,2
Iñigo Ruiz de Galarreta,Athletic Club,La Liga,2025-2026,32,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,10,0
Jacen Russell-Rowe,Toulouse,Ligue 1,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Jack Fletcher,Manchester Utd,Premier League,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Jack Grealish,Everton,Premier League,2025-2026,15,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,1
Jack Harrison,Fiorentina,Serie A,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Jack Harrison,Leeds United,Premier League,2025-2026,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Jack Hinshelwood,Brighton,Premier League,2025-2026,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0
Jackson Irvine,St Pauli,Bundesliga,2025-2026,17,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,1
Jackson Tchatchoua,Wolves,Premier League,2025-2026,15,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,0
Jacob Bruun Larsen,Burnley,Premier League,2025-2026,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Jacob Murphy,Newcastle United,Premier League,2025-2026,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Jacob Ondrejka,Parma,Serie A,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Jacob Ramsey,Newcastle United,Premier League,2025-2026,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,1
Jacobo Ramón,Como,Serie A,2025-2026,31,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,11,1
Jacopo Fazzini,Fiorentina,Serie A,2025-2026,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0
Jacques Ekomie,Angers,Ligue 1,2025-2026,32,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,0
Jadon Sancho,Aston Villa,Premier League,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Jahmai Simpson-Pusey,Köln,Bundesliga,2025-2026,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1
Jahyann Pandore,Metz,Ligue 1,2025-2026,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Jaidon Anthony,Burnley,Premier League,2025-2026,21,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
Jair Cunha,Nottingham Forest,Premier League,2025-2026,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jairo Izquierdo,Elche,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
